uri	name	type	synonyms	definition	resource	wikipedia
https://en.wiktionary.org/wiki/endopod	endopod length	length/width	endopodal length	Inner branch of the biramous crustacean limb	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg
https://en.wiktionary.org/wiki/epipod	epipod length	length/width	epipodal length	A small projection arising from the thoracic legs of a crustacean	Wikiworld	https://en.wiktionary.org/wiki/epipod
https://en.wiktionary.org/wiki/exopod	exopod length	length/width	exopodal length	Outer branch of the biramous crustacean limb	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg
https://www.wikidata.org/wiki/Q7364	eye length	length/width		Visual organ	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_eye
https://www.wikidata.org/wiki/Q4441421	eyestalk length	length/width	ommatophore length	A protrusion that extends an eye away from the body	Wikiworld	https://en.wikipedia.org/wiki/Eyestalk
https://www.wikidata.org/wiki/Q37017	face length	length/width	facial length	The front of an animal's head	Wikiworld	https://en.wikipedia.org/wiki/Face
https://www.wikidata.org/wiki/Q1940269	fang length	length/width		Chelicerae shaped as articulated fangs	Wikiworld	https://en.wikipedia.org/wiki/Chelicerae
https://www.wikidata.org/wiki/Q1404561	femur length	length/width	femoral length, femora length	Largest segment of most legs	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg#Femur
https://www.wikidata.org/wiki/Q58841533	flagellum length	length/width	flagellar length	Last segment of typical insect antenna	Wikiworld	https://en.wikipedia.org/wiki/Antenna_(biology)
https://en.wiktionary.org/wiki/forelimb#English	foreleg length	length/width	fore-leg length, forelimb length	First pair of legs	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg
https://en.wiktionary.org/wiki/forewing	forewing length	length/width	fore-wing length	First pair of wings	Wikiworld	https://en.wikipedia.org/wiki/Insect_wing
https://www.wikidata.org/wiki/Q1434710	frons length	length/width		One of the sclerites that make up the face of an arthropod	Wikiworld	https://en.wikipedia.org/wiki/Insect_morphology#External
https://www.wikidata.org/wiki/Q1495406	gaster length	length/width		Bulbous posterior portion of the metasoma found in hymenopterans	Wikiworld	https://en.wikipedia.org/wiki/Gaster_(insect_anatomy)
https://en.wiktionary.org/wiki/gena#English	gena length	length/width	genal length, genae length	The part of the head to which the jaws of an insect are attached	Wikiworld	https://en.wiktionary.org/wiki/gena
https://www.wikidata.org/wiki/Q4620674	genitalia length	length/width	genital length	A sex or reproductive organ	Wikiworld	https://en.wikipedia.org/wiki/Sex_organ
https://www.wikidata.org/wiki/Q132390	gill length	length/width		A respiratory organ found in many aquatic organisms that extracts dissolved oxygen from water	Wikiworld	https://en.wikipedia.org/wiki/Gill
https://www.wikidata.org/wiki/Q138167	gnathosoma length	length/width	gnathosomal length	Part of the body of the mites and ticks comprising the mouth and feeding parts	Wikiworld	https://en.wikipedia.org/wiki/Gnathosoma
https://www.wikidata.org/wiki/Q2138124	gonopod length	length/width	gonopodal length	Specialized appendages of various arthropods used in reproduction or egg-laying	Wikiworld	https://en.wikipedia.org/wiki/Gonopod
https://www.wikidata.org/wiki/Q1335456	haltere length	length/width	halter length, halteres length	A pair of small club-shaped organs on the body of some flying insects	Wikiworld	https://en.wikipedia.org/wiki/Halteres
https://www.wikidata.org/wiki/Q23640	head length	length/width		The head section of an arthropod	Wikiworld	https://en.wikipedia.org/wiki/Cephalon_(arthropod_head)
https://www.wikidata.org/wiki/Q1604753	hemelytron length	length/width	hemelytra length, hemelytral length, hemelytrum length, hemielytra length	An insect's forewing with both membranous and hardened portions	Wikiworld	https://en.wiktionary.org/wiki/hemelytron
https://en.wiktionary.org/wiki/hindleg	hindleg length	length/width	hind-leg length	Last pair of legs	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg
https://en.wiktionary.org/wiki/hindwing	hindwing length	length/width	hind-wing length	Second pair of wings	Wikiworld	https://en.wikipedia.org/wiki/Insect_wing
https://www.wikidata.org/wiki/Q104526082	horn length	length/width		Pointed projection on the head of various animals	Wikiworld	https://en.wikipedia.org/wiki/Horn_(anatomy)
https://www.wikidata.org/wiki/Q1641405	hypopygium length	length/width	hypopygia length, hypopygial length	A modified abdominal segment, in some insects, which supports the copulatory apparatus	Wikiworld	https://en.wiktionary.org/wiki/hypopygium
https://en.wiktionary.org/wiki/idiosoma	idiosoma length	length/width	idiosomal length	The posterior portion of the body of mites and ticks	Wikiworld	https://en.wiktionary.org/wiki/idiosoma
https://en.wiktionary.org/wiki/ischium	ischium length	length/width	ischia length, ischial length	Third segment of crustacean legs	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg
https://www.wikidata.org/wiki/Q520833	labium length	length/width	labial length, labia length	A lower mouthpart of an insect that is formed by the second pair of maxillae united in the middle line	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_mouthparts#Labium
https://www.wikidata.org/wiki/Q360768	labrum length	length/width	labral length, labra length	Flap-like structure that lies immediately in front of the mouth, upper lip of an insect mouth	Wikiworld	https://en.wikipedia.org/wiki/Labrum_(arthropod_mouthpart)
https://www.wikidata.org/wiki/Q133105	leg length	length/width	limb length	The complete leg	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg
https://www.wikidata.org/wiki/Q920112	mandible length	length/width	mandibular length, mouthparts length, mouth length	A pair of mouthparts, jaws	Wikiworld	https://en.wikipedia.org/wiki/Mandible_(arthropod_mouthpart)
https://www.wikidata.org/wiki/Q350956	maxilla length	length/width	maxillae length, maxillary length	The paired structures that make up the mandible	Wikiworld	https://en.wikipedia.org/wiki/Maxilla_(arthropod_mouthpart)
https://en.wiktionary.org/wiki/merus	merus length	length/width	meral length, meri length	Fourth segment of crustacean legs	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg
https://www.wikidata.org/wiki/Q1461105	mesosoma length	length/width	mesosomal length	The middle part of the body of arthropods whose body is composed of three parts	Wikiworld	https://en.wikipedia.org/wiki/Mesosoma
